papertitle,semanticscholarid,link
Can Multimodal LLMs Reason About Stability? An Exploratory Study with Insights from the LLMs4PCG Challenge,96428c28c123e54dcb1c02a17700eb1bef7b8503,https://anonymous.4open.science/r/cog2025-game-physics-eval/
CaptionQA: Is Your Caption as Useful as the Image Itself?,1e24535b78395e4f8ea49f6c6f3009257f32b4be,https://github.com/bronyayang/CaptionQA
CARScenes: Semantic VLM Dataset for Safe Autonomous Driving,5abd54e3f2b666fa8cf15fb7084ff7dfd30d0004,https://github.com/Croquembouche/CAR-Scenes
CartoMapQA: A Fundamental Benchmark Dataset Evaluating Vision-Language Models on Cartographic Map Understanding,da4931c4fbd619dbcf60a1d8271099a0c116e67a,https://github.com/ungquanghuy-kddi/CartoMapQA.git
Causality Matters: How Temporal Information Emerges in Video Language Models,7134bb1a6de5efffa03e492f2096942ac3da8a22,https://github.com/ANDgate99/Causality-Matters
Causal Mask in Transformer via Transfer Entropy from Vector Autoregressive Learning for Multivariate Time Series Forecasting,46c91469c61d141d5cff99b3541e844ce0e8f119,https://github.com/jancely/ARCausal
CBMAS: Cognitive Behavioral Modeling via Activation Steering,46c8132c784310ec099471bc6f6ec50b9183b6b7,https://github.com/shimamooo/CBMAS
Chain-of-Thought Re-ranking for Image Retrieval Tasks,25ac58d15e221944ffc2dd0267c7e99736541b4e,https://github.com/freshfish15/CoTRR
CHARM: Control-point-based 3D Anime Hairstyle Auto-Regressive Modeling,47e7846eac1c18f1fac124182934a27873be0b7f,https://hyzcluster.github.io/charm
ChartM3: Benchmarking Chart Editing with Multimodal Instructions,868f3f56a1ea84000e419ff3f5365035eb5a6f89,https://github.com/MLrollIT/ChartM3
Chem-R: Learning to Reason as a Chemist,b291ea066ee741e2e93fdde37685e3ac95fea8b1,https://github.com/davidweidawang/Chem-R
Chimera-3X: A Hybrid Cognitive Engine for Retrieval-Augmented Biomedical Consulting,3595b93c155f3ab020c21b765c734ee7d805faee,https://github.com/marwan8086/Chimera-3X
City Navigation in the Wild: Exploring Emergent Navigation from Web-Scale Knowledge in MLLMs,a9e4c7ef528acb31e7be91eae811ef1e6fbf8e8b,https://dwipddalal.github.io/AgentNav/
